Ticker,Date,Price,Open,High,Low,Change %
VLAV,2024-03-27,"10,496.43","10,308.95","10,497.91","10,308.95",1.82%
VLAV,2024-03-28,"10,551.11","10,496.43","10,577.97","10,496.43",0.52%
VLAV,2024-03-29,"10,551.11","10,551.11","10,551.11","10,551.11",0.00%
VLAV,2024-04-15,"9,931.82","10,044.63","10,133.12","9,903.16",-1.12%
VLAV,2024-04-16,"9,880.26","9,931.82","9,931.82","9,829.35",-0.52%
VLAV,2024-04-17,"9,826.58","9,880.26","9,947.22","9,819.50",-0.54%
VLAV,2024-04-18,"9,824.88","9,826.58","9,922.86","9,801.85",-0.02%
VLAV,2024-04-19,"9,858.43","9,824.88","9,887.48","9,809.91",0.34%
VLAV,2024-04-22,"9,934.01","9,858.43","9,983.24","9,857.44",0.77%
VLAV,2024-04-23,"10,069.33","9,934.01","10,097.50","9,934.01",1.36%
VLAV,2024-04-24,"10,064.45","10,069.33","10,090.33","10,006.83",-0.05%
VLAV,2024-04-25,"10,009.57","10,064.45","10,064.45","9,906.91",-0.55%
VLAV,2024-04-26,"10,066.83","10,009.57","10,094.63","10,009.57",0.57%
VLAV,2024-04-29,"10,136.37","10,066.83","10,147.26","10,066.83",0.69%
VLAV,2024-04-30,"9,952.55","10,136.37","10,136.37","9,952.55",-1.81%
VLAV,2024-05-13,"10,375.74","10,342.42","10,459.36","10,342.42",0.32%
VLAV,2024-05-14,"10,473.18","10,375.74","10,505.85","10,375.74",0.94%
VLAV,2024-05-15,"10,522.19","10,473.18","10,558.95","10,473.18",0.47%
VLAV,2024-05-16,"10,488.23","10,522.19","10,524.47","10,487.74",-0.32%
VLAV,2024-05-17,"10,484.66","10,522.19","10,522.19","10,461.78",-0.03%
VLAV,2024-05-20,"10,481.15","10,484.66","10,517.24","10,471.01",-0.03%
VLAV,2024-05-21,"10,452.49","10,481.15","10,481.15","10,428.54",-0.27%
VLAV,2024-05-22,"10,392.88","10,452.49","10,452.49","10,362.98",-0.57%
VLAV,2024-05-23,"10,243.37","10,392.88","10,414.46","10,219.97",-1.44%
VLAV,2024-05-24,"10,321.78","10,243.37","10,325.95","10,243.37",0.77%
VLAV,2024-05-27,"10,322.18","10,321.78","10,322.51","10,321.78",0.00%
VLAV,2024-05-28,"10,281.59","10,322.18","10,358.80","10,252.10",-0.39%
VLAV,2024-05-29,"10,150.19","10,281.59","10,281.59","10,147.93",-1.28%
VLAV,2024-05-30,"10,231.72","10,150.19","10,251.86","10,150.19",0.80%
VLAV,2024-05-31,"10,348.53","10,231.72","10,350.23","10,222.55",1.14%
VLAV,2024-06-13,"10,163.37","10,253.41","10,253.41","10,118.62",-0.88%
VLAV,2024-06-14,"10,041.74","10,163.37","10,163.37","9,991.40",-1.20%
VLAV,2024-06-17,"10,102.36","10,041.74","10,104.90","9,990.94",0.60%
VLAV,2024-06-18,"10,110.86","10,102.36","10,139.19","10,101.21",0.08%
VLAV,2024-06-19,"10,109.63","10,110.86","10,111.26","10,109.25",-0.01%
VLAV,2024-06-20,"10,104.80","10,109.63","10,135.73","10,078.27",-0.05%
VLAV,2024-06-21,"10,130.82","10,104.80","10,130.82","10,064.59",0.26%
VLAV,2024-06-24,"10,175.81","10,130.82","10,228.41","10,130.82",0.44%
VLAV,2024-06-25,"10,094.69","10,175.81","10,175.81","10,065.07",-0.80%
VLAV,2024-06-26,"10,085.75","10,094.69","10,094.69","10,042.14",-0.09%
VLAV,2024-06-27,"10,124.26","10,085.75","10,125.40","10,076.18",0.38%
VLAV,2024-06-28,"10,157.84","10,124.26","10,201.82","10,104.43",0.33%
VLAV,2024-07-15,"10,544.58","10,494.57","10,610.67","10,494.57",0.48%
VLAV,2024-07-16,"10,810.10","10,544.58","10,813.96","10,544.58",2.52%
VLAV,2024-07-17,"10,731.36","10,810.10","10,842.43","10,731.32",-0.73%
VLAV,2024-07-18,"10,588.00","10,731.36","10,821.90","10,560.89",-1.34%
VLAV,2024-07-19,"10,508.24","10,588.00","10,588.00","10,483.40",-0.75%
VLAV,2024-07-22,"10,625.07","10,508.24","10,629.80","10,468.81",1.11%
VLAV,2024-07-23,"10,639.69","10,625.07","10,677.38","10,583.99",0.14%
VLAV,2024-07-24,"10,453.45","10,639.69","10,641.15","10,451.11",-1.75%
VLAV,2024-07-25,"10,534.85","10,453.45","10,674.28","10,453.45",0.78%
VLAV,2024-07-26,"10,695.78","10,534.85","10,704.29","10,534.85",1.53%
VLAV,2024-07-29,"10,676.18","10,676.18","10,676.18","10,676.18",-0.18%
VLAV,2024-07-30,"10,714.79","10,714.79","10,714.79","10,714.79",0.36%
VLAV,2024-07-31,"10,795.97","10,795.97","10,795.97","10,795.97",0.76%
VLAV,2024-08-13,"10,270.89","10,270.89","10,270.89","10,270.89",1.59%
VLAV,2024-08-14,"10,260.16","10,260.16","10,260.16","10,260.16",-0.10%
VLAV,2024-08-15,"10,470.33","10,470.33","10,470.33","10,470.33",2.05%
VLAV,2024-08-16,"10,495.58","10,495.58","10,495.58","10,495.58",0.24%
VLAV,2024-08-19,"10,595.70","10,495.58","10,595.70","10,495.58",0.95%
VLAV,2024-08-20,"10,506.94","10,595.70","10,595.70","10,491.59",-0.84%
VLAV,2024-08-21,"10,620.81","10,506.94","10,621.28","10,506.94",1.08%
VLAV,2024-08-22,"10,543.45","10,620.81","10,637.01","10,532.57",-0.73%
VLAV,2024-08-23,"10,771.50","10,543.45","10,788.29","10,543.45",2.16%
VLAV,2024-08-26,"10,760.67","10,771.50","10,842.04","10,754.88",-0.10%
